Borough,Census Tract,Population
Bronx,100,12780
Bronx,200,3545
Bronx,400,3314
Bronx,1600,5237
Bronx,1900,1584
Bronx,2000,9068
Bronx,2300,4338
Bronx,2400,0
Bronx,2500,5109
Bronx,2701,3033
Bronx,2702,4736
Bronx,2800,5718
Bronx,3100,1478
Bronx,3300,3116
Bronx,3500,3473
Bronx,3700,478
Bronx,3800,1263
Bronx,3900,6022
Bronx,4001,1420
Bronx,4100,5240
Bronx,4200,7539
Bronx,4300,4789
Bronx,4400,4671
Bronx,4600,1419
Bronx,4800,3678
Bronx,5001,4871
Bronx,5002,5869
Bronx,5100,5634
Bronx,5200,2186
Bronx,5300,4159
Bronx,5400,5550
Bronx,5600,2710
Bronx,5902,2682
Bronx,6000,1081
Bronx,6100,4039
Bronx,6200,6399
Bronx,6300,5885
Bronx,6400,3967
Bronx,6500,4655
Bronx,6700,6491
Bronx,6800,3209
Bronx,6900,4323
Bronx,7000,4160
Bronx,7100,1885
Bronx,7200,5073
Bronx,7300,3248
Bronx,7400,3503
Bronx,7500,4688
Bronx,7600,4929
Bronx,7700,1307
Bronx,7800,6171
Bronx,7900,6598
Bronx,8300,6204
Bronx,8400,2079
Bronx,8500,5428
Bronx,8600,4381
Bronx,8700,5203
Bronx,8900,2886
Bronx,9000,3687
Bronx,9200,4877
Bronx,9300,5531
Bronx,9600,2099
Bronx,9800,5538
Bronx,11000,21
Bronx,11502,4139
Bronx,11700,1695
Bronx,11800,5080
Bronx,11900,4793
Bronx,12101,2878
Bronx,12102,1619
Bronx,12300,2920
Bronx,12500,2271
Bronx,12701,2309
Bronx,12901,2728
Bronx,13000,1179
Bronx,13100,3519
Bronx,13200,5614
Bronx,13300,6047
Bronx,13500,3126
Bronx,13800,1940
Bronx,14100,2314
Bronx,14300,712
Bronx,14400,5773
Bronx,14500,4878
Bronx,14701,5652
Bronx,14702,5273
Bronx,14900,3668
Bronx,15100,4743
Bronx,15200,2382
Bronx,15300,2962
Bronx,15500,2779
Bronx,15700,3575
Bronx,15800,1211
Bronx,15900,2170
Bronx,16000,5196
Bronx,16100,4755
Bronx,16200,1719
Bronx,16300,301
Bronx,16400,1212
Bronx,16500,1243
Bronx,16600,2226
Bronx,16700,1822
Bronx,16900,1796
Bronx,17100,3
Bronx,17300,4842
Bronx,17500,6466
Bronx,17701,3954
Bronx,17702,4165
Bronx,17901,4817
Bronx,17902,3408
Bronx,18101,2983
Bronx,18102,5590
Bronx,18301,4637
Bronx,18302,3740
Bronx,18400,3695
Bronx,18500,4750
Bronx,18900,7264
Bronx,19300,5248
Bronx,19400,1666
Bronx,19500,7327
Bronx,19700,7754
Bronx,19900,7880
Bronx,20000,4100
Bronx,20100,3632
Bronx,20200,1824
Bronx,20400,2884
Bronx,20501,8556
Bronx,20502,761
Bronx,20601,2375
Bronx,20900,4589
Bronx,21001,7051
Bronx,21002,8753
Bronx,21100,4532
Bronx,21200,5232
Bronx,21301,1464
Bronx,21302,3981
Bronx,21501,3690
Bronx,21502,6726
Bronx,21601,4339
Bronx,21602,5293
Bronx,21700,4797
Bronx,21800,6648
Bronx,21900,1307
Bronx,22000,1445
Bronx,22101,3300
Bronx,22102,5142
Bronx,22200,3024
Bronx,22300,5560
Bronx,22401,2607
Bronx,22403,3187
Bronx,22404,3940
Bronx,22500,6926
Bronx,22701,3036
Bronx,22702,1964
Bronx,22703,1585
Bronx,22800,5777
Bronx,22901,6093
Bronx,22902,3112
Bronx,23000,2754
Bronx,23100,1611
Bronx,23200,2333
Bronx,23301,4916
Bronx,23302,3545
Bronx,23501,4405
Bronx,23502,5178
Bronx,23600,1873
Bronx,23702,1212
Bronx,23703,4860
Bronx,23704,3774
Bronx,23800,2335
Bronx,23900,8094
Bronx,24000,3502
Bronx,24100,5955
Bronx,24300,5415
Bronx,24400,2083
Bronx,24501,4895
Bronx,24502,3645
Bronx,24600,2086
Bronx,24700,1807
Bronx,24800,3245
Bronx,24900,144
Bronx,25000,2297
Bronx,25100,6639
Bronx,25200,2417
Bronx,25300,6402
Bronx,25400,1886
Bronx,25500,6567
Bronx,25600,1727
Bronx,25700,1637
Bronx,26100,1517
Bronx,26300,7978
Bronx,26400,4798
Bronx,26500,6724
Bronx,26601,3003
Bronx,26602,5266
Bronx,26701,3620
Bronx,26702,7333
Bronx,26900,4098
Bronx,27300,7943
Bronx,27401,5372
Bronx,27402,3117
Bronx,27600,7
Bronx,27700,5339
Bronx,27900,7182
Bronx,28100,3824
Bronx,28300,2249
Bronx,28400,857
Bronx,28500,3238
Bronx,28600,1268
Bronx,28700,3159
Bronx,28800,3066
Bronx,28900,4627
Bronx,29301,1863
Bronx,29302,5506
Bronx,29500,4081
Bronx,29600,3801
Bronx,29700,3639
Bronx,30000,5862
Bronx,30100,1510
Bronx,30200,8864
Bronx,30701,5580
Bronx,30900,3745
Bronx,31000,4284
Bronx,31200,1569
Bronx,31400,2024
Bronx,31600,1779
Bronx,31800,1795
Bronx,31900,7
Bronx,32300,5171
Bronx,32400,2826
Bronx,32600,3203
Bronx,32800,3937
Bronx,33000,5111
Bronx,33201,3591
Bronx,33202,4498
Bronx,33400,224
Bronx,33500,2082
Bronx,33600,6138
Bronx,33700,3026
Bronx,33800,3848
Bronx,34000,4360
Bronx,34200,1533
Bronx,34300,1537
Bronx,34400,1537
Bronx,34500,3499
Bronx,34800,5991
Bronx,35000,1896
Bronx,35100,3366
Bronx,35600,2020
Bronx,35800,6917
Bronx,35900,1346
Bronx,36000,2899
Bronx,36100,6283
Bronx,36300,6571
Bronx,36400,2699
Bronx,36501,3421
Bronx,36502,1793
Bronx,36700,2223
Bronx,36800,1569
Bronx,36901,1687
Bronx,36902,2143
Bronx,37000,2210
Bronx,37100,4305
Bronx,37200,2182
Bronx,37300,4891
Bronx,37400,3519
Bronx,37504,3172
Bronx,37600,2116
Bronx,37800,2795
Bronx,37900,5057
Bronx,38000,3910
Bronx,38100,6192
Bronx,38200,2566
Bronx,38301,4862
Bronx,38302,5290
Bronx,38500,4071
Bronx,38600,7123
Bronx,38700,3392
Bronx,38800,2374
Bronx,38900,4558
Bronx,39000,2580
Bronx,39100,6372
Bronx,39200,1607
Bronx,39300,7731
Bronx,39400,4453
Bronx,39500,3414
Bronx,39600,3400
Bronx,39700,3914
Bronx,39800,2771
Bronx,39901,5550
Bronx,39902,4960
Bronx,40100,5302
Bronx,40302,4558
Bronx,40303,4697
Bronx,40304,3861
Bronx,40400,2904
Bronx,40501,4195
Bronx,40502,6983
Bronx,40600,3398
Bronx,40701,3309
Bronx,40702,6718
Bronx,40800,4014
Bronx,40900,3499
Bronx,41100,2701
Bronx,41300,7515
Bronx,41400,5040
Bronx,41500,5635
Bronx,41800,3587
Bronx,41900,6736
Bronx,42000,3788
Bronx,42100,6831
Bronx,42200,2694
Bronx,42300,3929
Bronx,42400,2570
Bronx,42500,6530
Bronx,42600,6470
Bronx,42800,2239
Bronx,42901,3269
Bronx,42902,3637
Bronx,43000,2961
Bronx,43100,9885
Bronx,43400,3756
Bronx,43500,0
Bronx,43600,2334
Bronx,44200,3715
Bronx,44400,3937
Bronx,44800,1836
Bronx,44901,1973
Bronx,44902,1992
Bronx,45101,1800
Bronx,45102,1943
Bronx,45600,2883
Bronx,45800,7329
Bronx,46000,2693
Bronx,46201,24523
Bronx,46202,7289
Bronx,48400,3758
Bronx,50400,5
Bronx,51600,4520
Brooklyn,100,5498
Brooklyn,200,1303
Brooklyn,301,5036
Brooklyn,501,3415
Brooklyn,502,2739
Brooklyn,700,3682
Brooklyn,900,2178
Brooklyn,1100,117
Brooklyn,1300,2533
Brooklyn,1500,2726
Brooklyn,1800,1442
Brooklyn,2000,1574
Brooklyn,2100,1134
Brooklyn,2200,4240
Brooklyn,2300,4314
Brooklyn,2901,4300
Brooklyn,3000,1873
Brooklyn,3100,2870
Brooklyn,3300,2348
Brooklyn,3400,2894
Brooklyn,3500,1477
Brooklyn,3600,3940
Brooklyn,3700,357
Brooklyn,3800,1607
Brooklyn,3900,2119
Brooklyn,4100,3251
Brooklyn,4300,2942
Brooklyn,4400,2590
Brooklyn,4500,3444
Brooklyn,4600,1217
Brooklyn,4700,1166
Brooklyn,4900,2593
Brooklyn,5000,2401
Brooklyn,5100,2093
Brooklyn,5201,1781
Brooklyn,5202,2453
Brooklyn,5300,1838
Brooklyn,5400,3205
Brooklyn,5601,2515
Brooklyn,5602,1523
Brooklyn,5800,3308
Brooklyn,5900,1099
Brooklyn,6000,2907
Brooklyn,6200,3062
Brooklyn,6300,1821
Brooklyn,6400,3484
Brooklyn,6500,5136
Brooklyn,6600,3631
Brooklyn,6700,3500
Brooklyn,6800,4781
Brooklyn,6900,3340
Brooklyn,7000,2549
Brooklyn,7100,4609
Brooklyn,7200,1858
Brooklyn,7400,5330
Brooklyn,7500,4454
Brooklyn,7600,4440
Brooklyn,7700,3905
Brooklyn,7800,5018
Brooklyn,8000,4360
Brooklyn,8200,4072
Brooklyn,8400,3229
Brooklyn,8500,7278
Brooklyn,8600,0
Brooklyn,8800,3410
Brooklyn,9000,2533
Brooklyn,9200,5160
Brooklyn,9400,4855
Brooklyn,9600,5900
Brooklyn,9800,6121
Brooklyn,10000,6271
Brooklyn,10100,4095
Brooklyn,10200,4616
Brooklyn,10400,5530
Brooklyn,10600,5460
Brooklyn,10800,4773
Brooklyn,11000,2017
Brooklyn,11200,6242
Brooklyn,11400,4116
Brooklyn,11600,4259
Brooklyn,11700,2788
Brooklyn,11800,2009
Brooklyn,11900,1555
Brooklyn,12000,1253
Brooklyn,12100,1796
Brooklyn,12200,5045
Brooklyn,12600,2522
Brooklyn,12700,3405
Brooklyn,12801,2006
Brooklyn,12901,2239
Brooklyn,12902,2125
Brooklyn,13000,4733
Brooklyn,13100,3994
