ntacode,"<10,000","10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-74,999","75,000-99,999","100,000-149,999","150,000-199,999",">200,000"
BK72,1726.0,1558.0,1411.0,999.0,1035.0,672.0,389.0,318.0,81.0,110.0
BK73,2200.0,1407.0,2018.0,1715.0,2060.0,3013.0,1928.0,2461.0,1117.0,1253.0
BK76,1270.0,711.0,1238.0,1410.0,1484.0,2868.0,2286.0,2171.0,955.0,731.0
BK90,1481.0,1265.0,1927.0,1471.0,1600.0,2484.0,1679.0,1871.0,701.0,409.0
BK09,580.0,195.0,628.0,537.0,775.0,1430.0,1249.0,1921.0,1115.0,2916.0
BK38,1784.0,787.0,1274.0,995.0,1357.0,1575.0,1502.0,2084.0,1369.0,2358.0
BK68,1405.0,834.0,989.0,1196.0,926.0,1593.0,1234.0,1734.0,816.0,833.0
BK69,1480.0,749.0,1379.0,1236.0,1603.0,2432.0,1741.0,2123.0,1211.0,983.0
BK35,4370.0,1840.0,3148.0,2422.0,3232.0,3636.0,2298.0,2134.0,854.0,426.0
BK75,3845.0,2241.0,3186.0,2725.0,3049.0,4088.0,2099.0,2005.0,580.0,407.0
BK77,2841.0,1326.0,2630.0,2277.0,2821.0,3539.0,1697.0,1237.0,340.0,177.0
BK78,4120.0,1810.0,3781.0,2246.0,3448.0,4022.0,2123.0,1955.0,401.0,258.0
BK99,0.0,0.0,0.0,36.0,46.0,56.0,0.0,19.0,7.0,6.0
BK82,6309.0,2262.0,3959.0,3563.0,4598.0,4799.0,2267.0,2208.0,575.0,231.0
BK83,2187.0,1030.0,1486.0,1348.0,2054.0,2515.0,1207.0,1205.0,332.0,270.0
BK93,1521.0,807.0,884.0,654.0,976.0,930.0,335.0,155.0,63.0,53.0
BK33,1592.0,863.0,1182.0,1153.0,1576.0,2545.0,1852.0,2990.0,1535.0,2340.0
BK37,1241.0,801.0,1404.0,1261.0,2596.0,4804.0,3903.0,6083.0,3590.0,5385.0
BK32,1798.0,1172.0,2348.0,1913.0,2571.0,2909.0,1644.0,1824.0,425.0,419.0
BK34,2385.0,1841.0,3308.0,2751.0,3077.0,3230.0,1766.0,1492.0,407.0,287.0
BK40,611.0,300.0,635.0,740.0,776.0,1391.0,1356.0,1858.0,841.0,1002.0
BK61,6695.0,3759.0,4918.0,4495.0,6357.0,6412.0,3401.0,3290.0,907.0,584.0
BK64,542.0,250.0,720.0,576.0,769.0,1623.0,1080.0,1937.0,850.0,1047.0
BK60,2851.0,1836.0,3239.0,3401.0,3974.0,5219.0,2316.0,2022.0,771.0,387.0
BK63,2083.0,1204.0,2115.0,1641.0,1917.0,2205.0,1551.0,1336.0,324.0,286.0
BK30,793.0,744.0,1647.0,1783.0,1885.0,2860.0,1678.0,2063.0,907.0,606.0
BK31,2495.0,1683.0,3626.0,3151.0,4614.0,5995.0,4388.0,4464.0,2481.0,2093.0
BK27,966.0,868.0,1096.0,1244.0,1386.0,1654.0,1234.0,1497.0,421.0,360.0
BK28,2347.0,2113.0,3800.0,3855.0,4469.0,5735.0,2538.0,3062.0,1207.0,591.0
BK29,1618.0,1504.0,2797.0,2769.0,3738.0,3582.0,2375.0,2129.0,730.0,495.0
BK41,1027.0,1185.0,1803.0,1269.0,1506.0,2064.0,1272.0,989.0,590.0,332.0
BK46,591.0,351.0,884.0,560.0,774.0,1279.0,703.0,883.0,231.0,351.0
BK88,2375.0,2731.0,4719.0,4078.0,3705.0,4138.0,2298.0,2468.0,1114.0,699.0
BK19,2928.0,1318.0,1531.0,1504.0,1509.0,1406.0,1384.0,1239.0,523.0,422.0
BK21,2455.0,1172.0,1668.0,1424.0,1462.0,1422.0,708.0,559.0,284.0,61.0
BK23,920.0,831.0,1081.0,701.0,1092.0,1517.0,606.0,884.0,196.0,198.0
BK26,1382.0,930.0,1730.0,1452.0,1521.0,1552.0,938.0,956.0,364.0,243.0
BK42,4345.0,2696.0,3974.0,4535.0,5661.0,6848.0,3792.0,3441.0,1276.0,914.0
BK43,2601.0,1319.0,2024.0,1806.0,1883.0,2887.0,1835.0,2148.0,1009.0,918.0
BK17,3036.0,1701.0,2598.0,2596.0,2590.0,3762.0,2920.0,3727.0,1153.0,987.0
BK25,1379.0,987.0,1904.0,1494.0,2647.0,2874.0,1519.0,1624.0,495.0,512.0
BK44,1156.0,1067.0,1616.0,1346.0,1799.0,2569.0,1554.0,2413.0,885.0,617.0
BK79,2331.0,1120.0,1368.0,1094.0,1871.0,1762.0,781.0,849.0,273.0,237.0
BK81,5049.0,2386.0,2898.0,2476.0,2465.0,2490.0,1177.0,1016.0,283.0,76.0
BK85,2335.0,891.0,1262.0,924.0,1333.0,1324.0,774.0,825.0,114.0,59.0
BK91,1456.0,751.0,2088.0,1638.0,2836.0,3265.0,2316.0,2530.0,1014.0,323.0
BK95,1152.0,724.0,1448.0,1324.0,1239.0,2125.0,910.0,863.0,262.0,175.0
BK96,2213.0,1238.0,2096.0,2253.0,3024.0,3883.0,2288.0,2079.0,595.0,386.0
BK45,641.0,445.0,1286.0,1207.0,1927.0,2438.0,2378.0,3580.0,1388.0,1142.0
BK50,2516.0,973.0,2305.0,2412.0,3393.0,5073.0,4108.0,4438.0,1661.0,790.0
BK58,1501.0,725.0,2179.0,2138.0,3072.0,4390.0,3316.0,3631.0,1588.0,739.0
BX27,2360.0,1074.0,1577.0,1002.0,1214.0,1022.0,359.0,245.0,3.0,21.0
