latitude,longitude,total_students
40.7133609,-73.9863022769841,323
40.71225365,-73.9839750348175,299
40.7290878,-73.9825163483761,649
40.7201826,-73.9861014321289,401
40.71944085,-73.9796539680744,1725
40.7184781,-73.9761897811847,560
40.7383725,-73.9816281,184
40.76367915,-73.9903460995945,116
40.7114702,-74.0011693,85
40.753271,-73.9978426,266
40.7655507,-73.9935842,443
40.7172511,-73.9894776,349
40.7655507,-73.9935842,431
40.716184,-73.9935207255638,421
40.7655507,-73.9935842,427
40.7655507,-73.9935842,417
40.7172511,-73.9894776,326
40.7172511,-73.9894776,362
40.7053128,-74.0129106229046,412
40.7355392,-73.9874497,548
40.72462945,-74.0049858373708,433
40.74336655,-74.0027635652581,426
40.76367915,-73.9903460995945,420
40.7355392,-73.9874497,358
40.7679284,-73.988097,1312
40.7324157,-73.9827433,468
40.7615114,-73.9886383,512
40.7417975,-73.9859409,439
40.7424139,-74.0025155,599
40.73912735,-73.9852789014271,715
40.7424139,-74.0025155,462
40.7702874,-73.9532702536936,531
40.7047334,-74.0114053,619
40.74336655,-74.0027635652581,396
40.7324157,-73.9827433,1706
40.74336655,-74.0027635652581,478
40.70896375,-74.0124803129914,685
40.7462177,-73.9809815,312
40.7462177,-73.9809815,305
40.74336655,-74.0027635652581,462
40.7355392,-73.9874497,339
40.7420166,-73.9921900769588,414
40.7654825,-73.9595891,469
40.7654825,-73.9595891,331
40.7179876,-74.0138419443421,3292
40.709228,-74.0121822,767
40.7462177,-73.9809815,255
40.76367915,-73.9903460995945,367
40.7654825,-73.9595891,530
40.7114702,-74.0011693,1466
40.75764675,-73.9833977304971,709
40.7560233,-73.9845628,236
40.7355392,-73.9874497,223
40.7366674,-73.9955978,232
40.7655507,-73.9935842,552
40.7172511,-73.9894776,439
40.7172511,-73.9894776,410
40.7355392,-73.9874497,241
40.6905149827586,-74.0203962241379,439
40.7053128,-74.0129106229046,593
40.7456576,-73.9963602918463,1732
40.74336655,-74.0027635652581,210
40.72462945,-74.0049858373708,443
40.7835893,-73.9459515,771
40.7744886,-73.9852837,435
40.7744886,-73.9852837,387
40.7857432,-73.9742028,395
40.7857432,-73.9742028,480
40.8026165,-73.9541633,531
40.7857432,-73.9742028,373
40.77418495,-73.9859719946164,2730
40.7744886,-73.9852837,531
40.7744886,-73.9852837,588
40.7744886,-73.9852837,460
40.7744886,-73.9852837,191
40.8026165,-73.9541633,429
40.7555847,-73.8593427,424
40.7991413,-73.933842,311
40.7947074,-73.9331377,1588
40.757726,-73.8637149,409
40.7935953,-73.94877,479
40.757759,-73.8628069,464
40.7919444,-73.9466666,351
40.8069444,-73.9388888,82
40.8172558,-73.9474959,425
40.8107133,-73.956233,664
40.8159758,-73.9556649,309
40.8159758,-73.9556649,354
40.8243845,-73.9366892,1489
40.8200885,-73.955016,572
40.82147395,-73.9490461998348,456
40.8608333,-73.9302777,593
40.8335188367347,-73.9418766530612,600
40.84923795,-73.9309074236737,650
40.8656163,-73.924801,223
40.8555093,-73.9262633470974,546
40.8555093,-73.9262633470974,523
40.8555093,-73.9262633470974,679
40.8555093,-73.9262633470974,624
40.81837785,-73.9503247317164,1360
40.6911662,-73.78473,491
40.8136604,-73.9202944,644
40.8136604,-73.9202944,451
40.8101458,-73.9071432,126
40.8101008,-73.9184701,437
40.8155463,-73.9304407,335
40.8183204,-73.9111831,344
40.8183204,-73.9111831,466
40.81467045,-73.9120040781003,537
40.8110683,-73.9095219,189
40.81862835,-73.920291170937,429
40.8224316,-73.9229432,515
40.8224316,-73.9229432,463
40.8224316,-73.9229432,575
40.8134846,-73.9260684,584
40.81862835,-73.920291170937,390
40.8155463,-73.9304407,577
40.8203974,-73.8929806885775,540
40.8146107,-73.8559861,395
40.83992655,-73.8391587353837,454
40.8209151,-73.8558568,335
40.8209151,-73.8558568,496
40.83992655,-73.8391587353837,95
40.8176007,-73.8979846,261
40.83992655,-73.8391587353837,95
40.83992655,-73.8391587353837,101
40.8146107,-73.8559861,637
40.8209151,-73.8558568,466
40.83992655,-73.8391587353837,2059
40.8209151,-73.8558568,313
40.8209151,-73.8558568,315
40.82078665,-73.8807533855072,341
40.8176007,-73.8979846,364
40.83992655,-73.8391587353837,251
40.8217383,-73.9026559678839,161
40.8209151,-73.8558568,195
40.8391226,-73.9115202,356
40.8081338,-73.9311593,645
40.8395136,-73.9018472911468,605
40.8339229,-73.9028753,423
40.8395136,-73.9018472911468,379
40.8339229,-73.9028753,461
40.8395136,-73.9018472911468,374
40.8412244,-73.898683734162,227
40.8273033,-73.9045097,464
40.82809765,-73.9176544960612,508
40.8902859,-73.8792001,543
40.8391226,-73.9115202,345
40.8391226,-73.9115202,107
40.8494748,-73.9156113,301
40.8273033,-73.9045097,414
40.8273033,-73.9045097,396
40.8391226,-73.9115202,359
40.8391226,-73.9115202,465
40.8274856,-73.9190268586198,773
40.8081338,-73.9311593,410
40.8433249,-73.9028965,711
40.8273033,-73.9045097,378
40.8391226,-73.9115202,171
40.8877842,-73.9135869366299,1355
40.8547772,-73.8967501,581
40.8756121,-73.9017234467755,573
40.8598397,-73.888295,611
40.8552778,-73.8824999,112
40.8701955,-73.8964684,443
40.8701955,-73.8964684,543
40.8813165,-73.8873388847277,90
40.8813165,-73.8873388847277,71
40.8790528,-73.9111901198137,1036
40.8598397,-73.888295,467
40.8701955,-73.8964684,499
40.8598397,-73.888295,410
40.8598397,-73.888295,407
40.8598397,-73.888295,460
40.8598397,-73.888295,403
40.8813165,-73.8873388847277,2746
40.8701955,-73.8964684,436
40.8776701724138,-73.8910282068966,3037
40.8552778,-73.8824999,252
40.8701955,-73.8964684,542
40.8552778,-73.8824999,211
40.87477195,-73.8951985992977,387
40.87410125,-73.8322403815423,345
40.8755487,-73.8614233,413
40.8755487,-73.8614233,476
40.8879540408163,-73.8528250612245,437
40.8755487,-73.8614233,556
40.8598996,-73.8603221,656
40.8755487,-73.8614233,461
40.8598996,-73.8603221,474
40.87410125,-73.8322403815423,1911
40.8598996,-73.8603221,332
40.8598996,-73.8603221,255
40.8879540408163,-73.8528250612245,401
40.8879540408163,-73.8528250612245,414
40.8598996,-73.8603221,480
40.8755487,-73.8614233,518
40.8755487,-73.8614233,404
40.8316075,-73.8781015,651
40.83633135,-73.8903249046069,357
40.8277475,-73.9006719,523
40.836821,-73.8876843886778,609
40.8440014,-73.8845354,552
40.8318142,-73.8787018,401
40.8316075,-73.8781015,318
40.8277475,-73.9006719,323
40.83633135,-73.8903249046069,239
40.8318142,-73.8787018,316
40.8318142,-73.8787018,388
40.8309293,-73.8861145,493
40.8415106,-73.8749294,534
40.8318142,-73.8787018,460
40.69698295,-73.9760811745642,503
40.6974003,-73.984865,394
40.6925521,-73.9583386,401
40.6974003,-73.984865,537
40.6893351,-73.9763679,5458
40.6974003,-73.984865,343
40.69463915,-73.9883286933661,449
40.6784674615385,-73.9620100769231,623
40.69463915,-73.9883286933661,508
40.68552125,-73.9540186062838,361
40.69544665,-73.9856023936999,702
40.689452,-73.9680779,907
40.69544665,-73.9856023936999,451
40.7038329,-73.953784054724,778
40.69670995,-73.9473005462727,110
40.7098149,-73.9439109,592
40.7098149,-73.9439109,328
40.7118943,-73.9391758,1083
40.7118943,-73.9391758,641
40.7118943,-73.9391758,1016
40.71553935,-73.9551419116931,489
40.71553935,-73.9551419116931,579
40.71553935,-73.9551419116931,671
40.7098149,-73.9439109,546
40.7222456,-73.9534004233044,420
40.70503765,-73.938666085409,351
40.7222456,-73.9534004233044,157
40.7056467,-73.9555405694127,225
40.6900847,-73.9892576,169
40.6851554,-73.9936611545665,275
40.6795265,-74.0020041243355,670
40.586712,-73.9853309,389
40.586712,-73.9853309,271
40.586712,-73.9853309,379
40.6851554,-73.9936611545665,479
40.6846795,-73.9910291,571
40.6864332,-73.979709,97
40.6838889,-73.9802777,815
40.6554547,-74.0045641,1309
40.586712,-73.9853309,387
40.692072125,-73.9315394375,155
40.67889925,-73.9316636360393,940
40.6884868,-73.9208061244416,518
