Borough,Census Tract,Population
Bronx,000100,12780
Bronx,000200,3545
Bronx,000400,3314
Bronx,001600,5237
Bronx,001900,1584
Bronx,002000,9068
Bronx,002300,4338
Bronx,002400,0
Bronx,002500,5109
Bronx,002701,3033
Bronx,002702,4736
Bronx,002800,5718
Bronx,003100,1478
Bronx,003300,3116
Bronx,003500,3473
Bronx,003700,478
Bronx,003800,1263
Bronx,003900,6022
Bronx,004001,1420
Bronx,004100,5240
Bronx,004200,7539
Bronx,004300,4789
Bronx,004400,4671
Bronx,004600,1419
Bronx,004800,3678
Bronx,005001,4871
Bronx,005002,5869
Bronx,005100,5634
Bronx,005200,2186
Bronx,005300,4159
Bronx,005400,5550
Bronx,005600,2710
Bronx,005902,2682
Bronx,006000,1081
Bronx,006100,4039
Bronx,006200,6399
Bronx,006300,5885
Bronx,006400,3967
Bronx,006500,4655
Bronx,006700,6491
Bronx,006800,3209
Bronx,006900,4323
Bronx,007000,4160
Bronx,007100,1885
Bronx,007200,5073
Bronx,007300,3248
Bronx,007400,3503
Bronx,007500,4688
Bronx,007600,4929
Bronx,007700,1307
Bronx,007800,6171
Bronx,007900,6598
Bronx,008300,6204
Bronx,008400,2079
Bronx,008500,5428
Bronx,008600,4381
Bronx,008700,5203
Bronx,008900,2886
Bronx,009000,3687
Bronx,009200,4877
Bronx,009300,5531
Bronx,009600,2099
Bronx,009800,5538
Bronx,011000,21
Bronx,011502,4139
Bronx,011700,1695
Bronx,011800,5080
Bronx,011900,4793
Bronx,012101,2878
Bronx,012102,1619
Bronx,012300,2920
Bronx,012500,2271
Bronx,012701,2309
Bronx,012901,2728
Bronx,013000,1179
Bronx,013100,3519
Bronx,013200,5614
Bronx,013300,6047
Bronx,013500,3126
Bronx,013800,1940
Bronx,014100,2314
Bronx,014300,712
Bronx,014400,5773
Bronx,014500,4878
Bronx,014701,5652
Bronx,014702,5273
Bronx,014900,3668
Bronx,015100,4743
Bronx,015200,2382
Bronx,015300,2962
Bronx,015500,2779
Bronx,015700,3575
Bronx,015800,1211
Bronx,015900,2170
Bronx,016000,5196
Bronx,016100,4755
Bronx,016200,1719
